Date,Close
2008-04-04,15.0
2008-04-11,15.0
2008-04-18,15.03
2008-04-25,15.03
2008-04-30,15.03
2008-05-02,15.03
2008-05-09,15.04
2008-05-16,15.06
2008-05-23,15.03
2008-05-30,15.12
2008-06-06,14.67
2008-06-13,14.3
2008-06-20,13.67
2008-06-27,13.33
2008-06-30,13.42
2008-07-04,13.04
2008-07-11,12.52
2008-07-18,13.01
2008-07-25,13.04
2008-07-31,13.07
2008-08-01,12.91
2008-08-08,13.51
2008-08-18,13.5
2008-08-22,13.34
2008-08-29,13.51
2008-09-05,12.81
2008-09-12,13.21
2008-09-19,13.15
2008-09-26,12.46
2008-09-30,12.03
2008-10-03,12.18
2008-10-10,9.57
2008-10-17,10.06
2008-10-24,9.38
2008-10-31,10.49
2008-11-07,10.31
2008-11-14,9.69
2008-11-21,8.9
2008-11-28,9.79
2008-12-05,9.35
2008-12-12,9.34
2008-12-19,9.22
2008-12-29,9.01
2008-12-31,9.42
2009-01-02,9.65
2009-01-09,9.78
2009-01-16,9.4
2009-01-23,9.31
2009-01-30,9.41
2009-02-06,9.69
2009-02-13,9.34
2009-02-20,8.91
2009-02-27,8.59
2009-03-06,8.09
2009-03-13,8.57
2009-03-20,8.47
2009-03-27,9.01
2009-03-31,8.82
2009-04-03,9.16
2009-04-14,9.33
2009-04-17,9.7
2009-04-24,9.56
2009-04-30,9.66
2009-05-04,9.85
2009-05-11,9.87
2009-05-15,9.67
2009-05-22,9.63
2009-05-29,9.84
2009-06-05,10.06
2009-06-12,10.21
2009-06-19,9.94
2009-06-26,9.82
2009-06-30,9.87
2009-07-03,9.72
2009-07-10,9.54
2009-07-17,9.94
2009-07-24,10.32
2009-07-31,10.5
2009-08-07,10.69
2009-08-14,10.69
2009-08-21,10.84
2009-08-28,10.96
2009-08-31,10.89
2009-09-04,10.86
2009-09-11,11.03
2009-09-18,11.2
2009-09-25,10.99
2009-09-30,11.17
2009-10-02,10.8
2009-10-09,11.22
2009-10-16,11.27
2009-10-23,11.13
2009-10-30,10.84
2009-11-06,11.05
2009-11-13,11.31
2009-11-20,11.23
2009-11-27,11.1
2009-11-30,11.11
2009-12-04,11.4
2009-12-11,11.44
2009-12-18,11.59
2009-12-28,11.85
2009-12-31,11.81
2010-01-04,11.95
2010-01-08,12.12
2010-01-15,12.05
2010-01-22,11.77
2010-01-29,11.63
2010-02-05,11.57
2010-02-12,11.71
2010-02-19,12.13
2010-02-26,12.01
2010-03-05,12.46
2010-03-12,12.53
2010-03-19,12.79
2010-03-26,12.94
2010-03-31,12.92
2010-04-06,13.26
2010-04-09,13.24
2010-04-16,13.18
2010-04-23,13.35
2010-04-30,13.13
2010-05-07,12.66
2010-05-14,13.22
2010-05-21,12.47
2010-05-28,12.8
2010-05-31,12.86
2010-06-04,12.87
2010-06-11,13.06
2010-06-18,13.21
2010-06-25,12.88
2010-06-30,12.47
2010-07-02,12.06
2010-07-09,12.67
2010-07-16,12.3
2010-07-23,12.71
2010-07-30,12.58
2010-08-06,12.65
2010-08-13,12.61
2010-08-20,12.57
2010-08-27,12.48
2010-08-31,12.38
2010-09-03,12.79
2010-09-10,13.03
2010-09-17,12.92
2010-09-24,12.77
2010-09-30,12.59
2010-10-01,12.55
2010-10-08,12.68
2010-10-15,12.76
2010-10-22,12.83
2010-10-29,12.82
2010-11-05,13.11
2010-11-12,13.11
2010-11-19,13.15
2010-11-26,13.33
2010-11-30,13.33
2010-12-03,13.52
2010-12-10,13.77
2010-12-17,13.85
2010-12-24,14.03
2010-12-31,13.8
2011-01-07,14.29
2011-01-14,14.15
2011-01-21,13.89
2011-01-28,13.8
2011-01-31,13.76
2011-02-04,14.19
2011-02-11,14.23
2011-02-18,14.41
2011-02-25,14.05
2011-02-28,14.09
2011-03-04,13.88
2011-03-11,13.72
2011-03-18,13.12
2011-03-25,13.5
2011-03-31,13.59
2011-04-01,13.72
2011-04-08,13.55
2011-04-15,13.43
2011-04-26,13.51
2011-04-29,13.53
2011-05-06,13.57
2011-05-13,13.73
2011-05-20,13.73
2011-05-27,13.62
2011-05-31,13.66
2011-06-03,13.12
2011-06-10,13.01
2011-06-17,13.03
2011-06-24,13.08
2011-06-30,13.34
2011-07-01,13.47
2011-07-08,13.62
2011-07-15,13.43
2011-07-22,13.5
2011-07-29,13.04
2011-08-05,12.08
2011-08-12,11.9
2011-08-19,11.23
2011-08-26,11.59
2011-08-31,12.04
2011-09-02,11.84
2011-09-09,11.81
2011-09-16,12.2
2011-09-23,11.58
2011-09-30,11.76
2011-10-07,11.93
2011-10-14,12.16
2011-10-21,12.18
2011-10-28,12.46
2011-10-31,12.3
2011-11-04,12.33
2011-11-14,12.43
2011-11-18,12.13
2011-11-25,11.75
2011-11-30,12.51
2011-12-02,12.55
2011-12-09,12.61
2011-12-16,12.5
2011-12-23,12.89
2011-12-30,12.93
2012-01-06,13.31
2012-01-13,13.44
2012-01-20,13.51
2012-01-27,13.36
2012-01-31,13.35
2012-02-03,13.66
2012-02-10,13.51
2012-02-17,13.75
2012-02-24,13.6
2012-02-29,13.69
2012-03-02,13.88
2012-03-09,13.91
2012-03-16,14.14
2012-03-23,13.88
2012-03-30,13.89
2012-04-10,13.59
2012-04-13,13.73
2012-04-20,13.78
2012-04-27,13.87
2012-04-30,13.9
2012-05-04,13.7
2012-05-11,13.63
2012-05-18,13.11
2012-05-25,13.41
2012-05-31,13.45
2012-06-01,13.12
2012-06-08,13.4
2012-06-15,13.47
2012-06-22,13.55
2012-06-29,13.73
2012-07-06,14.09
2012-07-13,14.11
2012-07-20,14.24
2012-07-27,14.3
2012-07-31,14.37
2012-08-03,14.44
