Date,Close
2025-02-07,10.0
2025-04-15,10.11316
2025-04-16,9.98171
2025-04-17,10.0316
2025-04-22,9.9113
2025-04-23,10.13521
2025-04-24,10.26685
2025-04-25,10.34448
2025-04-28,10.34094
2025-04-29,10.37524
2025-04-30,10.43796
2025-05-02,10.67064
2025-05-05,10.65734
2025-05-06,10.63071
2025-05-07,10.61039
2025-05-09,10.76336
2025-05-12,11.07384
2025-05-13,11.12159
2025-05-14,11.13144
2025-05-15,11.17553
2025-05-16,11.23543
2025-05-19,11.13187
2025-05-20,11.19081
2025-05-21,11.04904
2025-05-22,10.98381
2025-05-23,10.91229
2025-05-26,10.9343
2025-05-27,11.05314
2025-05-28,10.98474
2025-05-30,10.94291
2025-06-02,10.87532
2025-06-03,10.96477
2025-06-04,10.9952
2025-06-05,10.99391
2025-06-06,11.07833
2025-06-10,11.08278
2025-06-11,11.05869
2025-06-12,11.02584
2025-06-13,10.95519
2025-06-16,11.04039
2025-06-17,10.98245
2025-06-18,10.97748
2025-06-19,10.96652
2025-06-20,10.93933
2025-06-23,10.93657
2025-06-24,11.10237
2025-06-25,11.02956
2025-06-26,11.06122
2025-06-27,11.14706
2025-06-30,11.13833
2025-07-01,11.12037
2025-07-02,11.16187
2025-07-03,11.26934
2025-07-04,11.22854
2025-07-07,11.2091
2025-07-08,11.20447
2025-07-09,11.27827
2025-07-10,11.31279
2025-07-11,11.26826
2025-07-15,11.31447
2025-07-16,11.28675
2025-07-17,11.43624
2025-07-18,11.40827
2025-07-21,11.39068
2025-07-22,11.35569
2025-07-23,11.43535
2025-07-24,11.40038
2025-07-25,11.45365
2025-07-28,11.49468
2025-07-29,11.56399
2025-07-30,11.54062
2025-07-31,11.48506
2025-08-01,11.21421
2025-08-04,11.3034
2025-08-05,11.27604
2025-08-06,11.25044
2025-08-07,11.31783
2025-08-08,11.29696
2025-08-11,11.29944
2025-08-12,11.35686
2025-08-13,11.33955
2025-08-14,11.33066
2025-08-18,11.39826
2025-08-19,11.41039
2025-08-20,11.31181
2025-08-21,11.29635
2025-08-22,11.41604
2025-08-25,11.37974
2025-08-26,11.39154
2025-08-27,11.39457
2025-08-28,11.44555
2025-08-29,11.33124
2025-09-01,11.30394
2025-09-02,11.2035
2025-09-03,11.21659
2025-09-04,11.28332
2025-09-05,11.27153
2025-09-08,11.27628
2025-09-09,11.23903
2025-09-10,11.30361
2025-09-11,11.38804
2025-09-12,11.36037
2025-09-15,11.42722
2025-09-16,11.2925
2025-09-17,11.29468
2025-09-18,11.4208
2025-09-19,11.42236
2025-09-22,11.49189
2025-09-23,11.489
2025-09-24,11.52907
2025-09-25,11.5343
2025-09-26,11.52983
2025-09-29,11.57326
2025-09-30,11.63905
2025-10-01,11.74766
2025-10-02,11.82248
2025-10-03,11.8351
2025-10-06,11.88521
2025-10-07,11.86677
2025-10-08,12.05666
2025-10-09,12.05153
2025-10-10,11.81685
2025-10-13,11.9672
2025-10-14,11.91877
2025-10-15,12.00533
2025-10-16,11.99592
2025-10-17,11.93045
2025-10-20,12.05177
2025-10-21,12.07707
2025-10-22,11.92766
2025-10-23,12.10223
2025-10-24,12.24645
2025-10-27,12.27229
2025-10-28,12.22906
2025-10-29,12.20897
2025-10-30,12.09852
2025-10-31,12.09998
2025-11-03,12.10559
2025-11-04,11.99768
2025-11-05,12.06322
2025-11-06,11.90134
2025-11-07,11.78796
2025-11-10,11.91434
2025-11-12,11.9025
2025-11-13,11.7416
2025-11-14,11.69253
2025-11-17,11.63232
2025-11-18,11.52776
2025-11-19,11.58812
2025-11-20,11.48159
2025-11-21,11.47841
2025-11-24,11.58614
2025-11-25,11.67914
2025-11-26,11.84311
2025-11-27,11.84345
2025-11-28,11.90945
2025-12-01,11.82831
2025-12-02,11.85908
2025-12-03,11.84227
2025-12-04,11.88752
2025-12-05,11.91744
2025-12-08,11.90348
2025-12-09,11.84551
2025-12-10,11.93148
2025-12-11,11.9136
2025-12-12,11.77468
2025-12-15,11.77109
2025-12-16,11.70534
2025-12-17,11.58219
2025-12-18,11.68405
2025-12-19,11.75027
2025-12-22,11.79851
2025-12-23,11.79733
2025-12-24,11.82034
2025-12-29,11.8386
2025-12-30,11.85182
2025-12-31,11.79278
2026-01-02,12.00939
2026-01-05,12.16388
2026-01-06,12.25847
2026-01-07,12.16597
2026-01-08,12.10514
2026-01-09,12.211
2026-01-12,12.24843
